explainability_type,target_variable,feature_name,spearman_correlation,abs_spearman_correlation,interpretation,source
State-feature Spearman correlation,dt_base_risk,dt_payment_pressure,0.09856519467225364,0.09856519467225364,very_weak_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_risk,dt_value_pressure,0.039269943243389026,0.039269943243389026,very_weak_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_service,dt_service_gap,-0.999999999999998,0.999999999999998,strong_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_service,dt_service_pressure,-0.896170573103707,0.896170573103707,strong_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_service,dt_base_risk,-0.8443320670450934,0.8443320670450934,strong_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_service,dt_state_pressure_index,-0.7786396350284164,0.7786396350284164,strong_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_service,dt_high_pressure_flag,-0.7035806597677268,0.7035806597677268,strong_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_service,dt_resilience_pressure,-0.7024783173831031,0.7024783173831031,strong_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_service,dt_risk_delay_pressure,-0.6671754001833283,0.6671754001833283,moderate_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_service,dt_profit_proxy,0.6042628815032458,0.6042628815032458,moderate_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_service,dt_low_pressure_flag,0.5559523178903656,0.5559523178903656,moderate_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_service,dt_delay_service_graph,-0.4713423544572786,0.4713423544572786,moderate_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_service,dt_delivery_pressure,-0.4139981374181658,0.4139981374181658,moderate_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_service,dt_entity_graph_risk,-0.400402011571059,0.400402011571059,moderate_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_service,dt_coordination_opportunity,-0.36743918309278384,0.36743918309278384,weak_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_service,dt_base_resilience,0.3522613582278304,0.3522613582278304,weak_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_service,dt_resilience_gap,-0.3522613582278304,0.3522613582278304,weak_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_service,dt_base_delay,-0.34541304079686286,0.34541304079686286,weak_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_service,dt_seller_pressure,-0.3351619300606419,0.3351619300606419,weak_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_service,dt_route_pressure,-0.24490759426578956,0.24490759426578956,weak_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_service,dt_status_pressure,-0.24331750104904062,0.24331750104904062,weak_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_service,dt_graph_context,-0.19592956933595898,0.19592956933595898,very_weak_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_service,dt_order_complexity,-0.13293479760187438,0.13293479760187438,very_weak_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_service,dt_base_cost,-0.09497863308749753,0.09497863308749753,very_weak_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_service,dt_cost_graph_pressure,-0.09484138920968992,0.09484138920968992,very_weak_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_service,dt_freight_pressure,-0.09410892276794691,0.09410892276794691,very_weak_negative,Step 20 actual digital-twin state dataset
