alpha,w_low,w_moderate,w_high,valid_accuracy,valid_f1_macro,valid_balanced_accuracy,proposed_model,base_algorithm,candidate_feature_set
1.0,0.8,1.1,0.9,0.6415909594504764,0.6391804651668731,0.6411000986982475,XGBoost-RGC,XGBoost,RGC-StrictContext
0.85,1.2,1.35,0.9,0.6449146908929758,0.6391776184567148,0.6448194673834258,XGBoost-RGC,XGBoost,RGC-StrictContext
0.7,0.9,1.1,1.1,0.647795258143142,0.63916945797776,0.6466767778994414,XGBoost-RGC,XGBoost,RGC-StrictContext
1.0,1.1,1.2,0.8,0.6455794371814757,0.6391693928828407,0.6454765689702405,XGBoost-RGC,XGBoost,RGC-StrictContext
0.7,1.1,1.35,0.9,0.6430681734249206,0.6391662717186747,0.642993702693175,XGBoost-RGC,XGBoost,RGC-StrictContext
0.7,1.0,1.2,1.2,0.6481645616367531,0.6391560571021003,0.6470547701630123,XGBoost-RGC,XGBoost,RGC-StrictContext
0.5,1.0,1.2,1.0,0.6455794371814757,0.6391065855934649,0.6450168431504761,XGBoost-RGC,XGBoost,RGC-StrictContext
0.7,0.9,1.0,0.8,0.6468350690597533,0.6391046949059961,0.6463752929382479,XGBoost-RGC,XGBoost,RGC-StrictContext
0.85,0.9,1.2,1.0,0.6427358002806707,0.6390872263349712,0.6421942874342405,XGBoost-RGC,XGBoost,RGC-StrictContext
0.7,1.0,1.2,0.8,0.6434374769185317,0.6390790449581701,0.6433597241396031,XGBoost-RGC,XGBoost,RGC-StrictContext
0.85,0.9,1.0,0.8,0.6464657655661422,0.6389963488974066,0.646032175380972,XGBoost-RGC,XGBoost,RGC-StrictContext
0.5,1.1,1.2,1.1,0.6494201935150307,0.6389424594308678,0.6485586179355535,XGBoost-RGC,XGBoost,RGC-StrictContext
0.85,0.9,1.0,0.9,0.6479060491912253,0.638940502927866,0.6471671841934922,XGBoost-RGC,XGBoost,RGC-StrictContext
1.0,1.1,1.2,1.1,0.6486077258290863,0.6389367513359895,0.6478325971336164,XGBoost-RGC,XGBoost,RGC-StrictContext
1.0,0.9,1.2,1.1,0.6435113376172539,0.638889176929593,0.6426885298397257,XGBoost-RGC,XGBoost,RGC-StrictContext
0.85,1.1,1.2,0.8,0.6453578550853091,0.6388182676720003,0.6452586151159198,XGBoost-RGC,XGBoost,RGC-StrictContext
1.0,1.1,1.35,0.8,0.641812541546643,0.6388085022417753,0.6419128037311379,XGBoost-RGC,XGBoost,RGC-StrictContext
0.7,0.8,0.9,0.9,0.6494940542137528,0.6387900003177661,0.6484098549275861,XGBoost-RGC,XGBoost,RGC-StrictContext
0.7,1.2,1.35,1.35,0.6494940542137528,0.6387900003177661,0.6484098549275861,XGBoost-RGC,XGBoost,RGC-StrictContext
1.0,0.8,1.1,0.8,0.6401506758253933,0.6387729423107396,0.6399401759685504,XGBoost-RGC,XGBoost,RGC-StrictContext
0.7,1.0,1.1,1.1,0.6500480094541694,0.638746211686594,0.6489783883409302,XGBoost-RGC,XGBoost,RGC-StrictContext
0.7,1.1,1.2,0.8,0.6453947854346702,0.6387404663470563,0.6452962695219467,XGBoost-RGC,XGBoost,RGC-StrictContext
0.85,1.1,1.35,1.35,0.6470197208065588,0.6387365479560294,0.6459313235892753,XGBoost-RGC,XGBoost,RGC-StrictContext
0.7,1.0,1.35,0.9,0.6405569096683654,0.6387254676075038,0.6404845179371254,XGBoost-RGC,XGBoost,RGC-StrictContext
0.7,0.9,1.2,1.2,0.645320924735948,0.6387096728076024,0.6441588772570529,XGBoost-RGC,XGBoost,RGC-StrictContext
0.85,1.0,1.35,0.8,0.6396336509343379,0.6386909872252039,0.6397524707971259,XGBoost-RGC,XGBoost,RGC-StrictContext
0.5,0.9,1.1,1.1,0.6479060491912253,0.638674844992278,0.6467192348721601,XGBoost-RGC,XGBoost,RGC-StrictContext
0.5,0.9,1.2,1.2,0.6458748799763646,0.6386627574008179,0.6446370039782079,XGBoost-RGC,XGBoost,RGC-StrictContext
0.85,1.0,1.2,1.2,0.647462884998892,0.638638609526642,0.6463816859954787,XGBoost-RGC,XGBoost,RGC-StrictContext
0.7,0.8,1.1,0.9,0.6415540291011153,0.6386210860770323,0.6410034758957468,XGBoost-RGC,XGBoost,RGC-StrictContext
0.7,1.1,1.2,1.2,0.6501588005022527,0.6386128611709735,0.6490898174513968,XGBoost-RGC,XGBoost,RGC-StrictContext
0.85,0.9,1.1,1.1,0.6469827904571978,0.6386034894108675,0.645893647362501,XGBoost-RGC,XGBoost,RGC-StrictContext
1.0,1.0,1.35,1.2,0.642514218184504,0.6385664997446834,0.6417753817885085,XGBoost-RGC,XGBoost,RGC-StrictContext
0.5,1.0,1.2,1.2,0.6481276312873919,0.6385491143653478,0.6469538477707782,XGBoost-RGC,XGBoost,RGC-StrictContext
0.85,0.8,1.0,1.0,0.6464288352167812,0.6385353114812498,0.6453310560609027,XGBoost-RGC,XGBoost,RGC-StrictContext
0.7,0.8,1.1,0.8,0.6402245365241155,0.6385054302768561,0.639995237959173,XGBoost-RGC,XGBoost,RGC-StrictContext
0.85,1.2,1.35,0.8,0.6435113376172539,0.6384522408360468,0.6435805386614858,XGBoost-RGC,XGBoost,RGC-StrictContext
1.0,0.8,1.1,1.0,0.6421818450402541,0.6384517393307735,0.641358703988255,XGBoost-RGC,XGBoost,RGC-StrictContext
0.5,1.1,1.35,1.35,0.6476106063963365,0.6384319167876099,0.646420656691666,XGBoost-RGC,XGBoost,RGC-StrictContext
1.0,1.2,1.2,0.9,0.6479799098899476,0.6384101647417787,0.6476773478602895,XGBoost-RGC,XGBoost,RGC-StrictContext
1.0,1.35,1.35,1.0,0.6478321884925031,0.6384059932915164,0.6475563542012607,XGBoost-RGC,XGBoost,RGC-StrictContext
0.85,0.8,1.1,0.8,0.6398552330305045,0.6383913681873296,0.6396395448078754,XGBoost-RGC,XGBoost,RGC-StrictContext
0.7,1.2,1.35,0.9,0.6442130142551149,0.6383777679823802,0.64411503013515,XGBoost-RGC,XGBoost,RGC-StrictContext
