alpha,w_low,w_moderate,w_high,valid_f1_macro,valid_balanced_accuracy,proposed_model,base_algorithm,candidate_feature_set
0.85,1.3,1.3,1.5,0.9936142006217167,0.9936202067020946,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,0.7,0.7,0.85,0.9936139850903646,0.993618737367384,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,1.5,1.3,1.15,0.9936130928222932,0.9936318100132251,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,1.15,1.5,1.0,0.993585711692727,0.9936182486080383,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,1.3,1.5,1.0,0.9935855699488491,0.9936187238391102,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,1.15,1.15,0.7,0.9935839301774014,0.9936191342972786,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,1.0,1.3,1.0,0.9935835655154724,0.9936109019344852,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,0.85,1.15,0.85,0.9935828762974878,0.9936125874086538,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,0.85,1.0,0.7,0.9935821826843984,0.993611593305015,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,1.0,1.3,1.5,0.9935817075073481,0.9935903312485367,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.7,1.0,1.15,1.15,0.9935812377252066,0.9935984340655231,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.7,1.3,1.5,1.5,0.9935812377252066,0.9935984340655231,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,1.15,1.15,0.85,0.993580926296206,0.9936076605319552,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.7,1.15,1.3,1.5,0.9935807250093994,0.993587025073103,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,1.0,1.3,1.5,0.9935803409818518,0.993588861913826,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.7,1.15,1.15,1.0,0.9935794062429881,0.993600659543667,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.7,1.5,1.5,1.3,0.9935794062429881,0.993600659543667,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.7,1.3,1.3,1.15,0.9935791916558693,0.9935991902089564,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,1.15,1.0,0.85,0.9935784163004507,0.9935998168065828,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,0.85,1.15,1.5,0.993578242905467,0.9935817313797309,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,1.5,1.3,1.15,0.9935781995249863,0.9935983474718721,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,1.3,1.15,1.0,0.9935778737014638,0.9935986283842335,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.7,0.85,1.0,1.3,0.9935777635001878,0.9935757674472375,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,1.15,1.0,1.0,0.993577331277066,0.9935924701330298,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,1.5,1.3,1.3,0.993577331277066,0.9935924701330298,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,0.85,0.85,1.3,0.9935757662032655,0.9935618302435647,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.7,1.0,1.0,1.3,0.9935750926452939,0.9935712728494547,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.7,1.15,1.15,1.5,0.9935750926452939,0.9935712728494547,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,0.7,0.7,1.15,0.9935749188673766,0.9935559529047223,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,1.15,1.3,0.7,0.9935519011629599,0.9935965189236228,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,1.0,1.15,0.7,0.9935502381198641,0.9935897340747925,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,1.0,1.3,0.85,0.993549050087854,0.993582193082529,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,0.85,1.0,0.85,0.9935444200847122,0.9935681911059527,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.7,0.85,1.0,1.0,0.9935443000123447,0.9935617519423875,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,0.85,1.0,1.0,0.9935433329545962,0.9935608444323997,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,0.7,0.85,1.0,0.993543086896945,0.9935508400017868,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.7,0.7,0.7,0.7,0.9935416158228628,0.9935572573446046,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.7,0.85,0.85,0.85,0.9935416158228628,0.9935572573446046,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.7,1.0,1.0,1.0,0.9935416158228628,0.9935572573446046,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.7,1.15,1.15,1.15,0.9935416158228628,0.9935572573446046,XGBoost-RGC,XGBoost,RGC-RiskIndicator
