node_id,rgc_degree,rgc_weighted_degree,rgc_pagerank
seller::b1204cfda1d4948679db3cfc0d3cb95c,15.0,45.0,2.7572706093089074e-05
seller::5fd924b4836098a5be0ecf81ba054ce0,20.0,40.0,3.290852797476475e-05
seller::b92e3c8f9738272ff7c59e111e108d7c,56.0,265.0,0.00014860408493604893
seller::834f8533b2ecb6598dd004ff3de7203a,45.0,185.0,0.00011223124950910338
seller::d98eec89afa3380e14463da2aabaea72,70.0,815.0,0.00036871685321842706
seller::c542f5a8c64d973f30e9df8d06f70b4a,5.0,5.0,7.73820483252552e-06
seller::3f8034bfc6b8b4135534975d49f04c63,27.0,80.0,4.914352480620446e-05
seller::8bd0f31cf0a614c658f6763bd02dea69,25.0,155.0,7.202856947228158e-05
seller::436bf27f2f18474fc6047702e9f8a866,5.0,5.0,9.354644685755886e-06
seller::218d46b86c1881d022bce9c68a7d4b15,178.0,1885.0,0.0009006932448850817
seller::aae3bfea055532c57fb453ed3ec80b30,43.0,245.0,0.00010418988994877197
seller::8581055ce74af1daba164fdbd55a40de,76.0,2135.0,0.0008742627000283581
seller::3340ef1913fb70d28420f6ceb685c339,39.0,210.0,0.00010229860615486101
seller::6ee85be3693ed79a8e80718743d80655,21.0,65.0,3.499313854525941e-05
seller::dd264199fc8b687ad029de7de6d760e6,5.0,5.0,8.120961360067715e-06
seller::7722b1df1b0e383e000397b2c11e3e19,113.0,615.0,0.00034533334730129284
seller::41b39e28db005d9731d9d485a83b4c38,166.0,1115.0,0.0006106625350536214
seller::1771297ac436903d1dd6b0e9279aa505,31.0,175.0,8.213611025954175e-05
seller::582d4f8675b945722eda7c0cb61ba4c7,50.0,295.0,0.00014396123907092426
seller::669ae81880e08f269a64487cfb287169,46.0,780.0,0.00033217418289039084
seller::0725b8c0f3f906e58f70cbe76b7c748c,19.0,80.0,4.1773077165373356e-05
seller::5ab05b6d86d417796c69ffd6774ec832,12.0,40.0,2.3362759835019513e-05
seller::bb135baca94c82fcb731335ad5b04a03,28.0,175.0,9.226081777715609e-05
seller::9baf5cb77970f539089d09a38bcec5c3,44.0,120.0,7.749667375419529e-05
seller::3c3017960b2dbd72711a61f0400aab8f,24.0,50.0,3.189097636478566e-05
seller::b1aaae6b66ad3c40f54b389d7ea4bee0,31.0,85.0,6.294083997675635e-05
seller::0adac9fbd9a2b63cccaac4f8756c1ca8,90.0,610.0,0.00032531841185339227
seller::a36ac007a4d18f865c8d32c3b2402c2d,14.0,45.0,2.6408504190131565e-05
seller::1336efc61c316ddf92c899eb817f7cae,79.0,345.0,0.00020300871936341762
seller::bfd938b22bc99bce1ae60dc602889f52,17.0,60.0,3.456190643879097e-05
seller::5c603ffb38cbbf25a0e0698941324143,8.0,10.0,1.311851461213558e-05
seller::ef506c96320abeedfb894c34db06f478,155.0,1545.0,0.0007191621354373103
seller::c353f8fc0ce8344999f17d578eb69a5e,7.0,10.0,1.1424773423060821e-05
seller::bf100ecb7997df312b285358fb32f92c,25.0,105.0,5.780250323393971e-05
seller::903037660cf848a717166eb7a06d616e,41.0,155.0,9.322436364194529e-05
seller::933446e9a59dece7ae9175103820ca8f,8.0,15.0,1.4894544233812788e-05
seller::2493dc3f20131696a0ecdb9948051a8d,11.0,20.0,1.872969378546153e-05
seller::e9d99831abad74458942f21e16f33f92,80.0,665.0,0.00029047892848165353
seller::891071be6ba827b591264c90c2ae8a63,69.0,310.0,0.00016834264826536018
seller::3be5841cdcc46de4ed3f9116f104b2c5,16.0,20.0,2.004014050092533e-05
seller::ff314fa6033cc68ec451c47aee2d6ba4,8.0,10.0,1.295901666170164e-05
seller::ca3bd7cd9f149df75950150d010fe4a2,72.0,540.0,0.0002803897410069645
seller::aac29b1b99776be73c3049939652091d,44.0,570.0,0.00022124068556631543
seller::612a743d294c27884fb7b80d2b19ba35,5.0,10.0,1.131814668303146e-05
seller::f650a9708fa1bab22bdd8d3a818cc415,14.0,25.0,2.22399948984616e-05
seller::7b07b3c7487f0ea825fc6df75abd658b,81.0,415.0,0.00024601922105088933
seller::973f21788dfab357250f69a8dcb7ddee,17.0,70.0,4.3405382305010175e-05
seller::c273175f7c6c80fb02f051e2fc6d0d72,30.0,70.0,5.1024229821092724e-05
seller::8d92f3ea807b89465643c219455e7369,12.0,40.0,2.484679899339738e-05
seller::9646c3513289980f17226a2fc4720dbd,60.0,350.0,0.00016374337457642784
seller::59417c56835dd8e2e72f91f809cd4092,27.0,90.0,5.431761625989797e-05
seller::f8db351d8c4c4c22c6835c19a46f01b0,178.0,2680.0,0.0011610205701532742
seller::cb8bcce248bb1fb274ba762d8b971456,41.0,300.0,0.00012048045186546905
seller::014c0679dd340a0e338872e7ec85666a,27.0,60.0,4.34861913174246e-05
seller::ed9eef5be0992d413d251fadba1a410d,11.0,45.0,3.0513314752454864e-05
seller::48162d548f5b1b11b9d29d1e01f75a61,82.0,385.0,0.0002059576516088553
seller::58e4b302b54937e55a678c4d15111da4,11.0,15.0,1.6424531997086917e-05
seller::cd06602b43d8800bd0afad514919d35c,44.0,250.0,0.0001302258017472653
seller::198c7ea11960a9844b544d9bcdca860c,29.0,125.0,6.0371818182568824e-05
seller::b127efdabeffb5d559349c7b172eb75d,22.0,50.0,4.1560245005822286e-05
seller::999f6d9a1c7c81f43be44c6b7d076210,7.0,10.0,1.0956186601723448e-05
seller::8cbac7e12637ed9cffa18c7875207478,44.0,345.0,0.0001620644182545516
seller::422be4cc81a457fdb46f47edeb968ae5,5.0,5.0,9.383455317469896e-06
seller::9535a841eecebed61a9fb1ac1cbb5597,8.0,10.0,1.2630373308181287e-05
seller::a416b6a846a11724393025641d4edd5e,134.0,735.0,0.00041557675485562784
seller::6cd68b3ed6d59aaa9fece558ad360c0a,96.0,770.0,0.00037306696194615394
seller::e48b04bf1aa1ef711caebeb7aede6180,25.0,115.0,5.712690153475821e-05
seller::062ce95fa2ad4dfaedfc79260130565f,40.0,300.0,0.00014028015956410125
seller::31344c16881c08a8a72c6d2eb29918c1,31.0,165.0,8.147684455775207e-05
seller::93b9a99027bd8bd6af682aff18dd19bf,25.0,75.0,5.1542632338428346e-05
seller::e99e927c81e3f51739c94fcdfca9f10f,22.0,125.0,5.953402605529619e-05
seller::7c67e1448b00f6e969d365cea6b010ab,231.0,5545.0,0.002189858597335319
seller::64b87978a11c1ea7501a89eabe8c2c1a,10.0,35.0,2.1586427998781645e-05
seller::d1a1b40ec554c593a1a99366746289dd,5.0,5.0,9.547309479473246e-06
seller::586a871d4f1221763fddb6ceefdeb95e,5.0,10.0,1.1607364447402632e-05
seller::8a87611c08849ffeeccab52aa798b6c7,22.0,70.0,4.264436008616551e-05
seller::3985a3c45be355a4c57fde108bfabd1c,19.0,40.0,2.8850561925401606e-05
seller::2bd05d410a8fd26dc4184a15f4f2f588,20.0,35.0,2.873841123714683e-05
seller::004c9cd9d87a3c30c522c48c4fc07416,125.0,835.0,0.0004455574026355635
seller::0f519b0d2e5eb2227c93dd25038bfc01,5.0,5.0,9.379754510302741e-06
seller::7a67c85e85bb2ce8582c35f2203ad736,169.0,5140.0,0.0019832839766077883
seller::41c9d3997dd3c072c31139dc5bb5761f,9.0,15.0,1.3367562468512073e-05
seller::5dceca129747e92ff8ef7a997dc4f8ca,98.0,1630.0,0.0006550705985595034
seller::0b09101900100c0e9d312861fad5a1b9,5.0,5.0,9.388307489931048e-06
seller::4e8dacf3d38f281ae26c3e0321d92d88,18.0,75.0,4.179704839585794e-05
seller::1d0997ff06b524ce9289ffd75114ecd3,12.0,15.0,1.7702883925795542e-05
seller::c3cfdc648177fdbbbb35635a37472c53,135.0,1295.0,0.000647893761842594
seller::1f9ab4708f3056ede07124aad39a2554,41.0,315.0,0.00012663059118463445
seller::45213867cefbf2cd4c6177e10216a951,26.0,70.0,4.748837826670556e-05
seller::701938c450705b8ae65fc923b70f35c7,30.0,560.0,0.00022027297311256777
seller::f9f68daa2af419d38f745478bcb3da1a,5.0,10.0,1.121434629266535e-05
seller::56db5c0782e8f7ddc9343f9576ff6d16,5.0,5.0,9.55490329093077e-06
seller::8d79c8a04e42d722a75097ce5cbcf2ef,27.0,140.0,9.241479380671203e-05
seller::2bdb95a56a36ebbc6640337ac5eac174,5.0,5.0,9.34500029637056e-06
seller::d379f449f2a3b271bc01c0782020f705,35.0,120.0,6.780741868580615e-05
seller::ddd51ae8cda92f3995a51fc0f0f3eec7,14.0,125.0,6.244340199564081e-05
seller::a888faf2d1baececa6baf9c3d603ee1f,43.0,250.0,0.0001241743011687724
seller::debe6615cd90cc0c2eac2b8988e1f628,14.0,25.0,1.9711513678554945e-05
seller::5c243662ce92d84573bfaff24c3e3700,65.0,500.0,0.00022085145736377897
seller::5b33b527da3c5b969cc99dc435cad09a,25.0,80.0,4.459691002261134e-05
seller::6fc26fe110feebd80a433e1f012a84f9,31.0,305.0,0.00014128363031850146
seller::ebef8d8c92b4fd3226e5d407bbff21ac,10.0,15.0,1.63238097968105e-05
seller::cb5df0dcb9e280b1780e9d589889f2c7,35.0,95.0,6.639486648057963e-05
seller::8e6cc767478edae941d9bd9eb778d77a,92.0,560.0,0.0003141415460109797
seller::8b8cfc8305aa441e4239358c9f6f2485,19.0,75.0,4.298077352041022e-05
seller::403aa86912527d730337ffcb0fb096ab,27.0,55.0,3.559102567697132e-05
seller::e26901d5ab434ce92fd9b5c256820a4e,58.0,1105.0,0.00041863938866166015
